Dataset Size,Training Error,Testing Error,Training Time,Testing Time
342,0.449429825,0.43537415,60.44760096,0.004397416
1028,0.457516051,0.440136054,65.5289779,0.004113548
1714,0.444101517,0.43537415,67.97305391,0.004654534
2399,0.44337599,0.436054422,71.7479587,0.004918396
3085,0.442788006,0.423129252,79.04341341,0.004044887
3428,0.439959889,0.430612245,79.88135732,0.004095361
