Dataset Size,Training Error,Testing Error,Training Time,Testing Time
342,0.587288889,0.476190476,20.8584498,0.00313122
1028,0.563258366,0.485714286,23.57149903,0.003386104
1714,0.571786231,0.484353741,29.83115566,0.003262176
2399,0.577487286,0.485034014,33.04676497,0.003325526
3085,0.544176207,0.51292517,38.09034964,0.003721193
3428,0.57599755,0.54829932,38.81874284,0.003928598
