Dataset Size,Training Error,Testing Error,Training Time,Testing Time
342,0.627164912,0.485034014,23.42803433,0.003855444
1028,0.577709728,0.474829932,26.89132729,0.00438445
1714,0.634157993,0.468707483,34.37573559,0.003488853
2399,0.571953481,0.559863946,35.39821374,0.003416474
3085,0.634578801,0.548979592,35.35878332,0.003253934
3428,0.571095449,0.460544218,37.55616452,0.003299032
