Dataset Size,Training Error,Testing Error,Training Time,Testing Time
342,0.756416374,0.827891156,634.3176882,0.003558046
1028,0.621970428,0.552380952,634.3636653,0.003228668
1714,0.576743524,0.552380952,630.6715394,0.003054436
2399,0.567924469,0.552380952,625.2341391,0.003049644
3085,0.587343922,0.552380952,635.6513051,0.003088938
3428,0.614907818,0.552380952,613.550926,0.003061082
