Dataset Size,Training Error,Testing Error,Training Time,Testing Time
342,0.56725848,0.460544218,20.13709221,0.003266202
1028,0.638824125,0.465306122,23.18574741,0.003161763
1714,0.653792765,0.462585034,26.77525986,0.003113147
2399,0.658739141,0.478911565,30.34079469,0.00339405
3085,0.689702301,0.536054422,34.16010074,0.003090279
3428,0.795246558,0.546258503,35.73357127,0.003772511
