Timestep,Average Reward,Success Rate,Itr to Converge,,,
211,5.858,0.618,16,,,
212,6.26,0.654,16,,,
213,5.896,0.622,16,,,
214,6.01,0.63,16,,,
215,6.186,0.648,16,,,
216,6.12,0.642,16,,,
217,5.984,0.628,16,,,
218,6.326,0.66,16,,,
219,6.032,0.634,16,,,
220,6.342,0.662,16,,,
221,5.834,0.614,16,,,
222,6.53,0.678,16,,,
223,6.174,0.648,16,,,
224,6.166,0.646,16,,,
225,6.544,0.68,16,,,
226,5.904,0.622,16,,,
227,5.974,0.628,16,,,
228,5.742,0.606,16,,,
229,6.006,0.63,16,,,
230,6.346,0.664,16,,,
231,5.92,0.622,16,,,
232,6.116,0.642,16,,,
233,6.11,0.64,16,,,
234,6.014,0.632,16,,,
235,6.512,0.678,16,,,
236,5.89,0.622,16,,,
237,6.402,0.668,16,,,
238,6.14,0.642,16,,,
239,5.848,0.616,16,,,
240,6.18,0.648,16,,,
241,6.342,0.662,16,,,
242,6.332,0.662,16,,,
243,6.044,0.636,16,,,
244,5.864,0.618,16,,,
245,6.184,0.648,16,,,
246,6.432,0.672,16,,,
247,5.95,0.626,16,,,
248,5.74,0.606,16,,,
249,6.148,0.642,16,,,
250,6.044,0.634,16,,,
251,5.958,0.626,16,,,
252,6.126,0.642,16,,,
253,5.85,0.618,16,,,
254,6.314,0.66,16,,,
255,5.924,0.624,16,,,
256,5.988,0.63,16,,,
257,6.138,0.642,16,,,
258,6.104,0.64,16,,,
259,6.048,0.634,16,,,
260,5.87,0.62,16,,,
261,5.938,0.624,16,,,
262,5.99,0.628,16,,,
263,6.232,0.65,16,,,
264,5.568,0.592,16,,,
265,5.996,0.63,16,,,
266,6.054,0.636,16,,,
267,5.754,0.608,16,,,
268,6.278,0.656,16,,,
269,6.19,0.648,16,,,
270,6.202,0.65,16,,,
271,5.808,0.612,16,,,
272,5.938,0.624,16,,,
273,6.142,0.644,16,,,
274,5.642,0.598,16,,,
275,5.846,0.618,16,,,
276,6.418,0.668,16,,,
277,5.902,0.62,16,,,
278,5.636,0.598,16,,,
279,6.292,0.658,16,,,
280,5.91,0.622,16,,,
281,6.132,0.644,16,,,
282,6.104,0.64,16,,,
283,5.74,0.606,16,,,
284,5.93,0.624,16,,,
285,6.398,0.668,16,,,
286,6.32,0.662,16,,,
287,6.024,0.634,16,,,
288,6.424,0.67,16,,,
289,6.064,0.636,16,,,
290,6.326,0.66,16,,,
291,6.122,0.64,16,,,
292,6.416,0.67,16,,,
293,5.982,0.628,16,,,
294,6.356,0.664,16,,,
295,6.176,0.646,16,,,
296,6.826,0.706,16,,,
297,6.172,0.646,16,,,
298,6.116,0.64,16,,,
299,6.14,0.644,16,,,
