0,1,2,3,,
227,1.483,0.65,16,,
228,1.496,0.656,16,,
229,1.497,0.656,16,,
230,1.394,0.618,16,,
231,1.521,0.664,16,,
232,1.405,0.626,16,,
233,1.508,0.662,16,,
234,1.528,0.666,16,,
235,1.503,0.656,16,,
236,1.474,0.65,16,,
237,1.4,0.622,16,,
238,1.448,0.64,16,,
239,1.37,0.612,16,,
240,1.491,0.652,16,,
241,1.494,0.656,16,,
242,1.478,0.65,16,,
243,1.454,0.64,16,,
244,1.453,0.638,16,,
245,1.527,0.666,16,,
246,1.428,0.634,16,,
247,1.362,0.61,16,,
248,1.471,0.646,16,,
249,1.363,0.61,16,,
250,1.478,0.65,16,,
251,1.447,0.64,16,,
252,1.521,0.664,16,,
253,1.436,0.634,16,,
254,1.399,0.624,16,,
255,1.505,0.66,16,,
256,1.522,0.664,16,,
257,1.415,0.632,16,,
258,1.398,0.624,16,,
259,1.523,0.664,16,,
260,1.461,0.642,16,,
261,1.459,0.642,16,,
262,1.493,0.654,16,,
263,1.533,0.67,16,,
264,1.43,0.634,16,,
265,1.424,0.632,16,,
266,1.52,0.664,16,,
267,1.446,0.636,16,,
268,1.432,0.636,16,,
269,1.365,0.61,16,,
270,1.425,0.63,16,,
271,1.467,0.644,16,,
272,1.389,0.616,16,,
273,1.458,0.642,16,,
274,1.512,0.66,16,,
275,1.399,0.624,16,,
276,1.385,0.616,16,,
277,1.436,0.63,16,,
278,1.464,0.644,16,,
279,1.451,0.638,16,,
280,1.463,0.644,16,,
281,1.395,0.622,16,,
282,1.455,0.642,16,,
283,1.551,0.676,16,,
284,1.426,0.634,16,,
285,1.475,0.644,16,,
286,1.447,0.64,16,,
287,1.391,0.62,16,,
288,1.33,0.598,16,,
289,1.275,0.578,16,,
290,1.394,0.622,16,,
291,1.403,0.624,16,,
292,1.433,0.63,16,,
293,1.391,0.622,16,,
294,1.485,0.648,16,,
295,1.527,0.662,16,,
296,1.453,0.64,16,,
297,1.464,0.646,16,,
298,1.51,0.662,16,,
299,1.391,0.618,16,,
