Timestep,Average Reward,Success Rate,Itr to Converge,,
0,1.282,0.582,16,,1.637
1,1.637,0.704,16,,0.704
2,1.548,0.676,16,,
3,1.449,0.638,16,,
4,1.467,0.646,16,,
5,1.401,0.624,16,,
6,1.471,0.646,16,,
7,1.518,0.666,16,,
8,1.413,0.626,16,,
9,1.472,0.648,16,,
10,1.415,0.628,16,,
11,1.474,0.65,16,,
12,1.537,0.67,16,,
13,1.482,0.65,16,,
14,1.414,0.628,16,,
15,1.413,0.624,16,,
16,1.545,0.672,16,,
17,1.458,0.644,16,,
18,1.543,0.674,16,,
19,1.466,0.644,16,,
20,1.362,0.608,16,,
21,1.401,0.622,16,,
22,1.501,0.66,16,,
23,1.313,0.596,16,,
24,1.324,0.596,16,,
25,1.471,0.648,16,,
26,1.409,0.624,16,,
27,1.486,0.65,16,,
28,1.436,0.632,16,,
29,1.517,0.662,16,,
30,1.418,0.626,16,,
31,1.511,0.662,16,,
32,1.473,0.646,16,,
33,1.461,0.644,16,,
34,1.557,0.674,16,,
35,1.505,0.656,16,,
36,1.437,0.636,16,,
37,1.386,0.618,16,,
38,1.345,0.604,16,,
39,1.447,0.636,16,,
40,1.51,0.664,16,,
41,1.529,0.666,16,,
42,1.428,0.63,16,,
43,1.395,0.622,16,,
44,1.415,0.628,16,,
45,1.389,0.618,16,,
46,1.485,0.654,16,,
47,1.429,0.63,16,,
48,1.435,0.63,16,,
49,1.392,0.62,16,,
50,1.464,0.648,16,,
51,1.513,0.662,16,,
52,1.446,0.638,16,,
53,1.49,0.654,16,,
54,1.512,0.662,16,,
55,1.302,0.59,16,,
56,1.547,0.672,16,,
57,1.483,0.652,16,,
58,1.394,0.62,16,,
59,1.403,0.626,16,,
60,1.552,0.676,16,,
61,1.509,0.658,16,,
62,1.347,0.606,16,,
63,1.407,0.622,16,,
64,1.472,0.648,16,,
65,1.47,0.648,16,,
66,1.551,0.676,16,,
67,1.439,0.636,16,,
68,1.484,0.654,16,,
69,1.4,0.622,16,,
70,1.549,0.676,16,,
71,1.462,0.644,16,,
72,1.526,0.666,16,,
73,1.505,0.656,16,,
74,1.472,0.646,16,,
75,1.386,0.618,16,,
76,1.519,0.66,16,,
77,1.328,0.596,16,,
78,1.395,0.62,16,,
79,1.5,0.658,16,,
80,1.373,0.614,16,,
81,1.493,0.654,16,,
82,1.49,0.652,16,,
83,1.478,0.646,16,,
84,1.426,0.63,16,,
85,1.388,0.62,16,,
86,1.35,0.606,16,,
87,1.59,0.688,16,,
88,1.482,0.652,16,,
89,1.514,0.66,16,,
90,1.401,0.62,16,,
91,1.362,0.61,16,,
92,1.538,0.67,16,,
93,1.451,0.642,16,,
94,1.57,0.682,16,,
95,1.435,0.636,16,,
96,1.365,0.61,16,,
97,1.422,0.628,16,,
98,1.333,0.602,16,,
99,1.364,0.608,16,,
100,1.502,0.66,16,,
101,1.41,0.626,16,,
102,1.376,0.614,16,,
103,1.529,0.668,16,,
104,1.353,0.606,16,,
105,1.291,0.586,16,,
106,1.424,0.632,16,,
107,1.408,0.628,16,,
108,1.462,0.644,16,,
109,1.48,0.648,16,,
110,1.419,0.63,16,,
111,1.474,0.652,16,,
112,1.445,0.636,16,,
113,1.544,0.67,16,,
114,1.445,0.64,16,,
115,1.425,0.632,16,,
116,1.461,0.644,16,,
117,1.361,0.608,16,,
118,1.52,0.662,16,,
119,1.373,0.61,16,,
120,1.546,0.674,16,,
121,1.45,0.642,16,,
122,1.465,0.648,16,,
123,1.487,0.654,16,,
124,1.383,0.618,16,,
125,1.416,0.628,16,,
126,1.408,0.626,16,,
127,1.484,0.65,16,,
128,1.482,0.652,16,,
129,1.435,0.634,16,,
130,1.38,0.618,16,,
131,1.52,0.66,16,,
132,1.343,0.602,16,,
133,1.339,0.604,16,,
134,1.391,0.62,16,,
135,1.56,0.678,16,,
136,1.461,0.642,16,,
137,1.46,0.64,16,,
138,1.488,0.654,16,,
139,1.548,0.674,16,,
140,1.435,0.634,16,,
141,1.365,0.612,16,,
142,1.541,0.672,16,,
143,1.379,0.616,16,,
144,1.316,0.592,16,,
145,1.47,0.646,16,,
146,1.538,0.67,16,,
147,1.44,0.638,16,,
148,1.49,0.654,16,,
149,1.504,0.66,16,,
150,1.445,0.638,16,,
151,1.478,0.648,16,,
152,1.415,0.626,16,,
153,1.469,0.646,16,,
154,1.499,0.656,16,,
155,1.414,0.628,16,,
156,1.446,0.636,16,,
157,1.473,0.648,16,,
158,1.466,0.644,16,,
159,1.4,0.62,16,,
160,1.435,0.634,16,,
