Timestep,Average Reward,Success Rate,Itr to Converge,,
161,1.419,0.626,16,,
162,1.433,0.636,16,,
163,1.48,0.65,16,,
164,1.478,0.652,16,,
165,1.508,0.662,16,,
166,1.457,0.642,16,,
167,1.414,0.626,16,,
168,1.471,0.646,16,,
169,1.468,0.646,16,,
170,1.454,0.644,16,,
171,1.489,0.656,16,,
172,1.446,0.638,16,,
173,1.425,0.63,16,,
174,1.56,0.674,16,,
175,1.456,0.642,16,,
176,1.516,0.662,16,,
177,1.445,0.638,16,,
178,1.458,0.644,16,,
179,1.39,0.618,16,,
180,1.422,0.63,16,,
181,1.471,0.648,16,,
182,1.419,0.628,16,,
183,1.52,0.662,16,,
184,1.53,0.664,16,,
185,1.568,0.682,16,,
186,1.51,0.658,16,,
187,1.386,0.616,16,,
188,1.416,0.628,16,,
189,1.536,0.668,16,,
190,1.56,0.676,16,,
191,1.454,0.64,16,,
192,1.49,0.656,16,,
193,1.401,0.624,16,,
194,1.465,0.646,16,,
195,1.372,0.614,16,,
196,1.452,0.642,16,,
197,1.461,0.644,16,,
198,1.489,0.654,16,,
199,1.414,0.63,16,,
200,1.403,0.624,16,,
201,1.438,0.634,16,,
202,1.458,0.644,16,,
203,1.461,0.644,16,,
204,1.426,0.63,16,,
205,1.423,0.632,16,,
206,1.407,0.624,16,,
207,1.373,0.612,16,,
208,1.53,0.67,16,,
209,1.449,0.638,16,,
210,1.407,0.624,16,,
211,1.485,0.654,16,,
212,1.429,0.634,16,,
213,1.434,0.634,16,,
214,1.458,0.642,16,,
215,1.544,0.674,16,,
216,1.386,0.616,16,,
217,1.442,0.638,16,,
218,1.486,0.65,16,,
219,1.463,0.644,16,,
220,1.355,0.606,16,,
221,1.511,0.662,16,,
222,1.422,0.632,16,,
223,1.471,0.646,16,,
224,1.347,0.606,16,,
225,1.546,0.67,16,,
226,1.299,0.588,16,,
227,1.431,0.636,16,,
228,1.367,0.612,16,,
229,1.387,0.62,16,,
230,1.455,0.644,16,,
231,1.408,0.628,16,,
232,1.463,0.646,16,,
233,1.478,0.65,16,,
234,1.541,0.67,16,,
235,1.416,0.63,16,,
236,1.558,0.676,16,,
237,1.348,0.602,16,,
238,1.406,0.626,16,,
239,1.372,0.614,16,,
240,1.508,0.658,16,,
241,1.492,0.654,16,,
242,1.429,0.626,16,,
243,1.533,0.67,16,,
244,1.517,0.664,16,,
245,1.433,0.636,16,,
246,1.45,0.638,16,,
247,1.581,0.688,16,,
248,1.491,0.654,16,,
249,1.371,0.616,16,,
250,1.553,0.674,16,,
251,1.612,0.696,16,,
252,1.555,0.674,16,,
253,1.535,0.67,16,,
254,1.389,0.618,16,,
255,1.499,0.658,16,,
256,1.445,0.64,16,,
257,1.406,0.624,16,,
258,1.388,0.616,16,,
259,1.43,0.632,16,,
260,1.443,0.636,16,,
261,1.51,0.66,16,,
262,1.474,0.648,16,,
263,1.515,0.658,16,,
264,1.439,0.636,16,,
265,1.494,0.654,16,,
266,1.49,0.656,16,,
267,1.329,0.6,16,,
268,1.499,0.656,16,,
269,1.391,0.62,16,,
270,1.498,0.656,16,,
271,1.388,0.618,16,,
272,1.442,0.638,16,,
273,1.491,0.652,16,,
274,1.414,0.628,16,,
275,1.546,0.672,16,,
276,1.486,0.652,16,,
277,1.46,0.64,16,,
278,1.415,0.626,16,,
279,1.448,0.638,16,,
280,1.371,0.614,16,,
281,1.521,0.664,16,,
282,1.43,0.634,16,,
283,1.573,0.684,16,,
284,1.455,0.64,16,,
285,1.427,0.632,16,,
286,1.421,0.632,16,,
287,1.476,0.646,16,,
288,1.595,0.69,16,,
289,1.492,0.654,16,,
290,1.445,0.642,16,,
291,1.35,0.61,16,,
292,1.41,0.624,16,,
293,1.437,0.632,16,,
294,1.429,0.634,16,,
295,1.437,0.636,16,,
296,1.412,0.626,16,,
297,1.546,0.672,16,,
298,1.405,0.624,16,,
299,1.406,0.626,16,,
