Timestep,Average Reward,Success Rate,Itr to Converge,,
226,6.11,0.64,16,,
227,6.324,0.658,16,,
228,6.106,0.64,16,,
229,5.46,0.582,16,,
230,6.358,0.664,16,,
231,6.166,0.646,16,,
232,6.254,0.654,16,,
233,6.486,0.676,16,,
234,5.894,0.62,16,,
235,6.26,0.654,16,,
236,6.308,0.658,16,,
237,6.118,0.64,16,,
238,5.592,0.592,16,,
239,5.564,0.59,16,,
240,5.742,0.608,16,,
241,5.962,0.628,16,,
242,5.68,0.602,16,,
243,6.44,0.672,16,,
244,6.652,0.692,16,,
245,5.63,0.596,16,,
246,5.996,0.63,16,,
247,5.874,0.618,16,,
248,6.2,0.648,16,,
249,6.058,0.636,16,,
250,6.404,0.666,16,,
251,5.822,0.614,16,,
252,5.642,0.598,16,,
253,5.764,0.608,16,,
254,5.82,0.612,16,,
255,5.872,0.618,16,,
256,5.776,0.61,16,,
257,6.002,0.632,16,,
258,5.848,0.616,16,,
259,6.384,0.666,16,,
260,5.682,0.6,16,,
261,6.146,0.644,16,,
262,6.188,0.648,16,,
263,6.036,0.634,16,,
264,6.05,0.636,16,,
265,6.332,0.662,16,,
266,6.142,0.644,16,,
267,5.91,0.622,16,,
268,6.2,0.65,16,,
269,6.298,0.658,16,,
270,6.046,0.634,16,,
271,6.13,0.642,16,,
272,5.582,0.594,16,,
273,6.532,0.68,16,,
274,5.956,0.626,16,,
275,6.332,0.662,16,,
276,5.82,0.614,16,,
277,5.708,0.604,16,,
278,5.786,0.612,16,,
279,6.174,0.648,16,,
280,6.216,0.652,16,,
281,5.756,0.608,16,,
282,6.208,0.65,16,,
283,6.264,0.656,16,,
284,6.192,0.65,16,,
285,6.218,0.652,16,,
286,6.06,0.638,16,,
287,6.064,0.636,16,,
288,6.188,0.648,16,,
289,6.246,0.654,16,,
290,6.33,0.662,16,,
291,5.802,0.612,16,,
292,6.172,0.648,16,,
293,6.446,0.67,16,,
294,5.688,0.602,16,,
295,6.506,0.678,16,,
296,6.408,0.668,16,,
297,5.86,0.618,16,,
298,5.884,0.62,16,,
299,6.108,0.64,16,,
