0,1,2,3,,
227,5.978,0.63,16,,
228,6.176,0.646,16,,
229,6.204,0.65,16,,
230,5.802,0.614,16,,
231,5.972,0.628,16,,
232,6.134,0.642,16,,
233,6.022,0.634,16,,
234,6.286,0.658,16,,
235,5.856,0.618,16,,
236,6.004,0.63,16,,
237,6.084,0.638,16,,
238,6.232,0.652,16,,
239,6.006,0.632,16,,
240,6.22,0.652,16,,
241,6.6,0.686,16,,
242,6.306,0.658,16,,
243,6.154,0.644,16,,
244,6.412,0.668,16,,
245,6.03,0.634,16,,
246,5.958,0.626,16,,
247,5.856,0.618,16,,
248,5.984,0.63,16,,
249,6.074,0.638,16,,
250,5.936,0.624,16,,
251,5.962,0.626,16,,
252,5.844,0.618,16,,
253,6.182,0.648,16,,
254,6.152,0.646,16,,
255,6.132,0.644,16,,
256,5.61,0.594,16,,
257,6.798,0.704,16,,
258,6.128,0.642,16,,
259,5.918,0.624,16,,
260,5.702,0.604,16,,
261,6.038,0.634,16,,
262,6.162,0.646,16,,
263,5.966,0.628,16,,
264,6.066,0.636,16,,
265,6.016,0.632,16,,
266,5.962,0.628,16,,
267,5.6,0.594,16,,
268,5.972,0.628,16,,
269,6.388,0.666,16,,
270,5.97,0.628,16,,
271,6.204,0.648,16,,
272,6.23,0.652,16,,
273,6.302,0.658,16,,
274,5.496,0.584,16,,
275,6.266,0.654,16,,
276,5.89,0.618,16,,
277,5.82,0.614,16,,
278,6.026,0.634,16,,
279,6.306,0.658,16,,
280,5.592,0.592,16,,
281,5.93,0.626,16,,
282,5.798,0.612,16,,
283,6.406,0.666,16,,
284,6.222,0.652,16,,
285,6.3,0.658,16,,
286,6.346,0.662,16,,
287,6.316,0.658,16,,
288,5.634,0.596,16,,
289,6.134,0.644,16,,
290,6.196,0.65,16,,
291,6.024,0.634,16,,
292,6.246,0.654,16,,
293,6.396,0.668,16,,
294,6.054,0.636,16,,
295,6,0.63,16,,
296,6.03,0.634,16,,
297,6.418,0.67,16,,
298,6.112,0.642,16,,
299,6.33,0.662,16,,
