0,1,2,3,,
239,-1.37,392.23,1000,,
240,-2,398,500,,
241,-1.496,393.382,1000,,
242,-2,398,500,,
243,-1.832,396.448,1000,,
244,-1.79,396.062,500,,
245,-1.328,391.81,1000,,
246,-1.622,394.514,1000,,
247,-1.832,396.454,1000,,
248,-1.454,392.976,1000,,
249,-2,398,500,,
250,-1.202,390.69,1000,,
251,-2,398,500,,
252,-1.832,396.456,1000,,
253,-2,398,500,,
254,-2,398,500,,
255,-2,398,500,,
256,-1.79,396.06,500,,
257,-1.832,396.456,1000,,
258,-1.916,397.224,500,,
259,-1.832,396.454,1000,,
260,-2,398,500,,
261,-2,398,500,,
262,-2,398,1000,,
263,-2,398,500,,
264,-1.874,396.84,500,,
265,-2,398,500,,
266,-2,398,500,,
267,-2,398,500,,
268,-1.748,395.69,1000,,
269,-1.916,397.228,500,,
270,-1.622,394.518,1000,,
271,-2,398,1000,,
272,-1.664,394.912,1000,,
273,-2,398,500,,
274,-2,398,500,,
275,-2,398,500,,
276,-1.496,393.372,1000,,
277,-2,398,1000,,
278,-1.706,395.3,1000,,
279,-2,398,1000,,
280,-2,398,500,,
281,-1.622,394.526,1000,,
282,-2,398,500,,
283,-2,398,1000,,
284,-1.916,397.224,1000,,
285,-2,398,500,,
286,-2,398,1000,,
287,-1.664,394.928,1000,,
288,-2,398,500,,
289,-2,398,500,,
290,-2,398,500,,
291,-1.832,396.456,1000,,
292,-1.748,395.684,1000,,
293,-1.664,394.904,1000,,
294,-1.874,396.836,500,,
295,-1.328,391.836,1000,,
296,-2,398,1000,,
297,-1.328,391.824,1000,,
298,-2,398,500,,
299,-2,398,1000,,
