0,1,2,3,,
0,-1.496,393.386,1000,,396.26284
1,-2,398,500,,-0.152
2,-1.118,389.954,1000,,
3,-1.37,392.208,1000,,
4,-1.622,394.534,1000,,
5,-2,398,500,,
6,-2,398,500,,
7,-1.286,391.424,1000,,
8,-2,398,500,,
9,-2,398,1000,,
10,-2,398,500,,
11,-1.79,396.06,500,,
12,-1.916,397.224,1000,,
13,-1.538,393.742,1000,,
14,-2,398,500,,
15,-2,398,500,,
16,-1.79,396.062,500,,
17,-2,398,500,,
18,-2,398,1000,,
19,-1.958,397.614,1000,,
20,-2,398,500,,
21,-2,398,500,,
22,-2,398,1000,,
23,-2,398,1000,,
24,-1.916,397.224,500,,
25,-2,398,1000,,
26,-2,398,500,,
27,-1.748,395.672,1000,,
28,-1.832,396.448,500,,
29,-2,398,1000,,
30,-2,398,500,,
31,-2,398,500,,
32,-1.832,396.452,1000,,
33,-1.874,396.854,1000,,
34,-2,398,500,,
35,-1.748,395.682,500,,
36,-2,398,500,,
37,-1.958,397.614,1000,,
38,-2,398,500,,
39,-1.748,395.672,500,,
40,-1.874,396.838,500,,
41,-2,398,500,,
42,-2,398,500,,
43,-2,398,500,,
44,-2,398,500,,
45,-1.664,394.906,500,,
46,-2,398,500,,
47,-1.58,394.132,1000,,
48,-1.496,393.412,1000,,
49,-2,398,500,,
50,-1.664,394.9,500,,
51,-1.706,395.292,500,,
52,-1.664,394.906,500,,
53,-2,398,500,,
54,-2,398,500,,
55,-0.824,387.188,1000,,
56,-1.37,392.23,1000,,
57,-1.622,394.534,1000,,
58,-2,398,500,,
59,-1.748,395.672,1000,,
60,-1.916,397.224,1000,,
61,-0.824,387.208,1000,,
62,-2,398,500,,
63,-1.832,396.456,1000,,
64,-1.58,394.136,1000,,
65,-2,398,500,,
66,-2,398,1000,,
67,-1.706,395.306,1000,,
68,-2,398,500,,
69,-2,398,500,,
70,-2,398,500,,
71,-1.79,396.06,1000,,
72,-1.664,394.904,1000,,
73,-1.622,394.522,500,,
74,-1.496,393.36,1000,,
75,-1.958,397.614,1000,,
76,-1.622,394.522,1000,,
77,-2,398,500,,
78,-1.664,394.896,1000,,
79,-1.16,390.322,1000,,
80,-2,398,1000,,
81,-1.79,396.076,1000,,
82,-1.874,396.842,1000,,
83,-2,398,500,,
84,-2,398,500,,
85,-2,398,500,,
86,-2,398,500,,
87,-2,398,500,,
88,-2,398,500,,
89,-1.832,396.454,1000,,
90,-2,398,500,,
91,-1.874,396.836,1000,,
92,-1.706,395.288,500,,
93,-0.152,381.252,1000,,
94,-2,398,500,,
95,-2,398,500,,
96,-2,398,500,,
97,-1.538,393.768,1000,,
98,-2,398,500,,
99,-1.622,394.518,1000,,
100,-2,398,500,,
101,-2,398,500,,
102,-2,398,500,,
103,-2,398,500,,
104,-2,398,1000,,
105,-1.748,395.672,500,,
106,-2,398,500,,
107,-1.454,392.99,1000,,
108,-2,398,1000,,
109,-1.79,396.06,500,,
110,-2,398,500,,
111,-2,398,500,,
112,-1.706,395.294,500,,
113,-2,398,500,,
114,-1.79,396.06,1000,,
115,-2,398,1000,,
116,-2,398,500,,
117,-2,398,500,,
118,-2,398,1000,,
119,-2,398,500,,
120,-2,398,500,,
121,-1.58,394.132,1000,,
122,-1.832,396.452,500,,
123,-1.202,390.676,1000,,
124,-2,398,1000,,
125,-2,398,1000,,
126,-2,398,500,,
127,-2,398,500,,
128,-2,398,500,,
129,-2,398,500,,
130,-2,398,500,,
131,-1.79,396.064,500,,
132,-1.286,391.454,1000,,
133,-2,398,500,,
134,-1.874,396.836,1000,,
135,-1.832,396.454,500,,
136,-1.958,397.614,1000,,
137,-2,398,500,,
138,-2,398,1000,,
139,-1.748,395.672,500,,
140,-1.202,390.66,1000,,
141,-2,398,1000,,
142,-1.706,395.292,500,,
143,-2,398,1000,,
144,-1.328,391.85,1000,,
145,-1.076,389.51,1000,,
146,-1.412,392.608,1000,,
147,-2,398,500,,
148,-1.79,396.06,1000,,
149,-2,398,500,,
150,-2,398,500,,
151,-1.118,389.886,1000,,
152,-2,398,500,,
153,-1.454,392.992,1000,,
154,-2,398,500,,
155,-2,398,1000,,
156,-2,398,500,,
157,-1.496,393.368,1000,,
158,-2,398,1000,,
159,-1.328,391.832,1000,,
160,-1.664,394.906,500,,
161,-1.496,393.356,1000,,
162,-1.16,390.282,1000,,
163,-2,398,500,,
164,-2,398,1000,,
165,-2,398,1000,,
166,-2,398,1000,,
167,-1.958,397.612,500,,
168,-2,398,500,,
169,-1.832,396.448,1000,,
170,-2,398,1000,,
171,-2,398,500,,
172,-2,398,1000,,
173,-1.58,394.128,500,,
174,-2,398,500,,
175,-1.58,394.128,500,,
176,-1.874,396.842,1000,,
177,-2,398,1000,,
