0,1,2,3,,
0,-1.874,396.842,1000,,396.17522
1,-2,398,1000,,-0.656
2,-2,398,1000,,
3,-2,398,500,,
4,-2,398,500,,
5,-1.37,392.192,1000,,
6,-2,398,500,,
7,-2,398,1000,,
8,-1.538,393.748,1000,,
9,-1.664,394.906,1000,,
10,-1.706,395.298,1000,,
11,-2,398,500,,
12,-2,398,1000,,
13,-2,398,1000,,
14,-2,398,500,,
15,-2,398,500,,
16,-2,398,500,,
17,-2,398,1000,,
18,-2,398,500,,
19,-2,398,500,,
20,-1.832,396.448,1000,,
21,-2,398,500,,
22,-2,398,500,,
23,-2,398,1000,,
24,-1.874,396.842,1000,,
25,-1.664,394.906,1000,,
26,-2,398,500,,
27,-2,398,500,,
28,-1.916,397.228,1000,,
29,-2,398,500,,
30,-1.496,393.386,1000,,
31,-1.832,396.456,1000,,
32,-2,398,1000,,
33,-2,398,1000,,
34,-1.832,396.448,1000,,
35,-1.832,396.448,500,,
36,-2,398,500,,
37,-1.496,393.356,1000,,
38,-1.916,397.228,1000,,
39,-1.748,395.672,1000,,
40,-1.412,392.586,1000,,
41,-2,398,500,,
42,-1.79,396.06,500,,
43,-2,398,500,,
44,-1.832,396.448,500,,
45,-2,398,500,,
46,-2,398,1000,,
47,-2,398,500,,
48,-1.244,391.09,1000,,
49,-1.58,394.156,1000,,
50,-1.622,394.518,500,,
51,-2,398,1000,,
52,-1.79,396.06,500,,
53,-1.034,389.14,1000,,
54,-2,398,500,,
55,-2,398,500,,
56,-1.622,394.512,500,,
57,-1.958,397.612,500,,
58,-2,398,1000,,
59,-2,398,1000,,
60,-2,398,1000,,
61,-2,398,500,,
62,-2,398,1000,,
63,-2,398,500,,
64,-1.874,396.842,1000,,
65,-2,398,500,,
66,-1.286,391.432,1000,,
67,-0.824,387.208,1000,,
68,-2,398,500,,
69,-1.58,394.144,1000,,
70,-2,398,1000,,
71,-2,398,1000,,
72,-1.916,397.224,500,,
73,-1.664,394.906,500,,
74,-2,398,500,,
75,-1.706,395.286,500,,
76,-1.916,397.228,1000,,
77,-2,398,500,,
78,-1.706,395.298,1000,,
79,-1.538,393.764,1000,,
80,-1.958,397.612,1000,,
81,-1.328,391.832,1000,,
82,-2,398,500,,
83,-2,398,500,,
